"district","candidate_placement","candidate_name","candidate_answer_status","candidate_photo_url","candidate_url","done","party"
"Suðvestur",2,"Rósa Björk Brynjólfsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Rosa-Bjork-Brynjolfsdottir/",1,"Vinstri græn"
"Suðvestur",3,"Ólafur Þór Gunnarsson","cand ok","","/kosningar2013/frambod/fulltrui/Olafur-THor-Gunnarsson/",1,"Vinstri græn"
"Suðvestur",4,"Guðbjörg Sveinsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Gudbjorg-Sveinsdottir/",1,"Vinstri græn"
"Suðvestur",5,"Garðar H. Guðjónsson","cand ok","","/kosningar2013/frambod/fulltrui/Gardar-H-Gudjonsson/",1,"Vinstri græn"
"Suðvestur",1,"Lýður Árnason","cand ok","","/kosningar2013/frambod/fulltrui/Lydur-Arnason/",1,"Lýðræðisvaktin"
"Suðvestur",2,"Ástrós Signýjardóttir","cand ok","","/kosningar2013/frambod/fulltrui/Astros-Signyjardottir/",1,"Lýðræðisvaktin"
"Suðvestur",3,"Friðrik Hansen Guðmundsson","cand ok","","/kosningar2013/frambod/fulltrui/Fridrik-Hansen-Gudmundsson/",1,"Lýðræðisvaktin"
"Suðvestur",4,"Guðrún Guðlaugsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Gudrun-Gudlaugsdottir/",1,"Lýðræðisvaktin"
"Suðvestur",5,"Árni Stefán Árnason","cand not","","/kosningar2013/frambod/fulltrui/Arni-Stefan-Arnason/",0,"Lýðræðisvaktin"
"Suðvestur",1,"Birgitta Jónsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Birgitta-Jonsdottir/",1,"Píratar"
"Suðvestur",2,"Björn Leví Gunnarsson","cand ok","","/kosningar2013/frambod/fulltrui/Bjorn-Levi-Gunnarsson/",1,"Píratar"
"Suðvestur",3,"Hákon Einar Júlíusson","cand ok","","/kosningar2013/frambod/fulltrui/Hakon-Einar-Juliusson/",1,"Píratar"
"Suðvestur",4,"Árni Þór Þorgeirsson","cand ok","","/kosningar2013/frambod/fulltrui/Arni-THor-THorgeirsson/",1,"Píratar"
"Suðvestur",5,"Berglind Ósk Bergsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Berglind-Osk-Bergsdottir/",1,"Píratar"
"Suðvestur",1,"Sigurjón Haraldsson","cand ok","","/kosningar2013/frambod/fulltrui/sigurjon-haraldsson/",1,"Hægri Grænir"
"Suðvestur",2,"Týr Þórarinsson","cand ok","","/kosningar2013/frambod/fulltrui/tyr-thorarinsson/",1,"Hægri Grænir"
"Suðvestur",3,"Ástþór Óli Halldórsson","cand ok","","/kosningar2013/frambod/fulltrui/astthor-oli-halldorsson/",1,"Hægri Grænir"
"Suðvestur",4,"Helgi Helgason","cand not","","/kosningar2013/frambod/fulltrui/helgi-helgason/",0,"Hægri Grænir"
"Suðvestur",5,"Böðvar Guðmundsson","cand ok","","/kosningar2013/frambod/fulltrui/bodvar-gudmundsson/",1,"Hægri Grænir"
"Norðaustur",1,"Brynjólfur Ingvarsson","cand not","","/kosningar2013/frambod/fulltrui/brynjolfur-ingvarsson/",0,"Flokkur heimilanna"
"Norðaustur",2,"Emil K. Thorarensen","cand not","","/kosningar2013/frambod/fulltrui/emil-k-thorarensen/",0,"Flokkur heimilanna"
"Norðaustur",3,"Árni Þorsteinsson","cand not","","/kosningar2013/frambod/fulltrui/arni-thorsteinsson/",0,"Flokkur heimilanna"
"Norðaustur",4,"Kristín Þórarinsdóttir ","cand not","","/kosningar2013/frambod/fulltrui/kristin-thorarinsdottir/",0,"Flokkur heimilanna"
"Norðaustur",5,"Jóhann Kristjánsson","cand ok","","/kosningar2013/frambod/fulltrui/johann-kristjansson/",1,"Flokkur heimilanna"
"Norðaustur",1,"Baldvin H Sigurðsson","cand not","","/kosningar2013/frambod/fulltrui/baldvin-h-sigurdsson/",0,"Regnboginn"
"Norðaustur",2,"Þorsteinn Bergsson","cand not","","/kosningar2013/frambod/fulltrui/thorsteinn-bergsson/",0,"Regnboginn"
"Norðaustur",3,"Guðný Aðalsteinsdóttir","cand not","","/kosningar2013/frambod/fulltrui/gudny-adalsteinsdottir/",0,"Regnboginn"
"Norðaustur",4,"Þorkell Jóhannesson","cand not","","/kosningar2013/frambod/fulltrui/thorkell-johannesson/",0,"Regnboginn"
"Norðaustur",5,"Sif Sigurðardóttir","cand not","","/kosningar2013/frambod/fulltrui/sif-sigurdardottir/",0,"Regnboginn"
"Norðaustur",1,"Gísli Tryggvason","cand ok","","/kosningar2013/frambod/fulltrui/Gisli-Tryggvason/",1,"Dögun"
"Norðaustur",2,"Kolbrún Eva Ríkharðsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Kolbrun-Eva-Rikhardsdottir/",1,"Dögun"
"Norðaustur",3,"Erling Ingvason","cand ok","","/kosningar2013/frambod/fulltrui/Erling-Ingvason/",1,"Dögun"
"Norðaustur",4,"Hólmfríður Sólveig Haraldsdóttir","cand not","","/kosningar2013/frambod/fulltrui/Holmfridur-Solveig-Haraldsdottir/",0,"Dögun"
"Norðaustur",5,"Benedikt Sigurðarson","cand ok","","/kosningar2013/frambod/fulltrui/Benedikt-Sigurdarson/",1,"Dögun"
"Norðaustur",1,"Brynhildur Pétursdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Brynhildur-Petursdottir/",1,"Björt framtíð"
"Norðaustur",2,"Preben Jón Pétursson","cand ok","","/kosningar2013/frambod/fulltrui/Preben-Jon-Petursson/",1,"Björt framtíð"
"Norðaustur",3,"Stefán Már Guðmundsson","cand ok","","/kosningar2013/frambod/fulltrui/Stefan-Mar-Gudmundsson/",1,"Björt framtíð"
"Norðaustur",4,"Hanna Sigrún Helgadóttir","cand ok","","/kosningar2013/frambod/fulltrui/Hanna-Sigrun-Helgadottir/",1,"Björt framtíð"
"Norðaustur",5,"Bragi S Björgvinsson","cand not","","/kosningar2013/frambod/fulltrui/Bragi-S-Bjorgvinsson/",0,"Björt framtíð"
"Norðaustur",1,"Kristján Þór Júlíusson","cand not","","/kosningar2013/frambod/fulltrui/Kristjan-THor-Juliusson/",0,"Sjálfstæðisflokkurinn"
"Norðaustur",2,"Valgerður Gunnarsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Valgerdur-Gunnarsdottir/",1,"Sjálfstæðisflokkurinn"
"Norðaustur",3,"Ásta Kristín Sigurjónsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Asta-Kristin-Sigurjonsdottir/",1,"Sjálfstæðisflokkurinn"
"Norðaustur",4,"Jens Garðar Helgason","cand ok","","/kosningar2013/frambod/fulltrui/Jens-Gardar-Helgason/",1,"Sjálfstæðisflokkurinn"
"Norðaustur",5,"Erla S. Ragnarsdóttir","cand not","","/kosningar2013/frambod/fulltrui/Erla-S-Ragnarsdottir/",0,"Sjálfstæðisflokkurinn"
"Norðaustur",1,"Kristján L. Möller","cand not","","/kosningar2013/frambod/fulltrui/Kristjan-L-Moller/",0,"Samfylkingin"
"Norðaustur",2,"Erna Indriðadóttir","cand not","","/kosningar2013/frambod/fulltrui/Erna-Indridadottir/",0,"Samfylkingin"
"Norðaustur",3,"Jónína Rós Guðmundsdóttir","cand ok","","/kosningar2013/frambod/fulltrui/Jonina-Ros-Gudmundsdottir/",1,"Samfylkingin"
"Norðaustur",4,"Sigmundur Ernir Rúnarsson","cand not","","/kosningar2013/frambod/fulltrui/Sigmundur-Ernir-Runarsson/",0,"Samfylkingin"
